"TOA5","Sample_Site","CR1000","5038","CR1000.Std.17","CPU:madeupprog.cr1","111","Sample_data"
"Timestamp","RECORD,"Battery","WindSpeed,"WindDirection","Wind_STDDEV","Temperature"
"TS","RN","Volts","meterspersecond","degrees","degrees","kohms"
"","","Avg","WVc","WVc","WVc","Avg"
"2010-05-17 08:00:00",230,13.447,3.477,58.48,4.892,7.58
"2010-05-17 08:30:00",231,13.453,4.868,80.6,5.523,7.57
"2010-05-17 09:00:00",232,13.456,4.803,87,5.786,7.55
"2010-05-17 09:30:00",233,13.455,3.006,81.9,4.103,7.51
"2010-05-17 10:00:00",234,13.451,3.238,96.7,4.839,7.5
"2010-05-17 10:30:00",235,13.443,2.373,88,3.209,7.5
"2010-05-17 11:00:00",236,13.434,2.801,93.7,4.155,7.5
"2010-05-17 11:30:00",237,13.423,4.458,107.6,4.997,7.51
"2010-05-17 12:00:00",238,13.412,3.702,109.8,4.629,7.51
"2010-05-17 12:30:00",239,13.403,2.411,110.2,3.314,7.47
"2010-05-17 13:00:00",240,13.394,2.213,107.9,3.209,7.37
"2010-05-17 13:30:00",241,13.379,1.944,127.1,2.683,7.35
"2010-05-17 14:00:00",242,13.369,1.342,156.8,1.999,7.35
"2010-05-17 14:30:00",243,13.366,0.906,220.3,1.42,7.35
"2010-05-17 15:00:00",244,13.364,1.393,244.2,3.051,7.35
"2010-05-17 15:30:00",245,13.358,1.98,255.7,3.314,7.35
"2010-05-17 16:00:00",246,13.339,0.508,342.1,1.736,7.35
"2010-05-17 16:30:00",247,13.313,2.601,48.98,3.629,7.35
"2010-05-17 17:00:00",248,13.289,4.03,62.92,5.05,7.35
"2010-05-17 17:30:00",249,13.283,2.664,55.18,3.682,7.35
"2010-05-17 18:00:00",250,13.275,2.619,39.46,3.84,7.35
"2010-05-17 18:30:00",251,13.249,1.375,25.05,2.63,7.35
"2010-05-17 19:00:00",252,13.221,3.451,354.2,5.786,7.35
"2010-05-17 19:30:00",253,13.196,5.615,352.2,7.1,7.35
"2010-05-17 20:00:00",254,13.188,7.72,38.39,9.57,7.35
"2010-05-17 20:30:00",255,13.177,7.69,48.01,9.1,7.35
"2010-05-17 21:00:00",256,13.17,8.24,49.15,10.15,7.35
"2010-05-17 21:30:00",257,13.168,8.97,54,11.47,7.35
"2010-05-17 22:00:00",258,13.171,8.81,55.3,10.47,7.35
"2010-05-17 22:30:00",259,13.176,9.22,56.18,11.89,7.34
"2010-05-17 23:00:00",260,13.183,7.98,54.83,9.99,7.35
"2010-05-17 23:30:00",261,13.195,9.38,48.58,11.99,7.35
"2010-05-18 00:00:00",262,13.212,9.44,50.8,10.99,7.35
"2010-05-18 00:30:00",263,13.24,9.4,48.27,10.57,7.35
"2010-05-18 01:00:00",264,13.269,9.4,49.09,10.99,7.35
"2010-05-18 01:30:00",265,13.297,9.03,46.36,10.47,7.35
"2010-05-18 02:00:00",266,13.328,8.05,45.74,9.63,7.34
"2010-05-18 02:30:00",267,13.357,7.5,50.15,8.68,7.34
"2010-05-18 03:00:00",268,13.382,7.56,45.49,8.57,7.35
"2010-05-18 03:30:00",269,13.4,10.71,31.67,13.26,7.35
"2010-05-18 04:00:00",270,13.414,11.89,20.21,12.89,7.35
"2010-05-18 04:30:00",271,13.418,13.05,15.6,13.89,7.35
"2010-05-18 05:00:00",272,13.419,14.22,24.48,15.57,7.35
"2010-05-18 05:30:00",273,13.415,13.86,20.99,14.89,7.34
"2010-05-18 06:00:00",274,13.407,14.83,19.22,15.62,7.34
"2010-05-18 06:30:00",275,13.403,14.82,17.09,15.99,7.35
"2010-05-18 07:00:00",276,13.405,15.04,16.16,16.41,7.34
"2010-05-18 07:30:00",277,13.412,15.19,12.3,16.31,7.35
"2010-05-18 08:00:00",278,13.417,15.47,8.44,16.25,7.35
"2010-05-18 08:30:00",279,13.42,15.21,9.4,16.15,7.35
"2010-05-18 09:00:00",280,13.421,15.64,8.53,16.57,7.35
"2010-05-18 09:30:00",281,13.418,16.15,8.48,17.57,7.35
"2010-05-18 10:00:00",282,13.414,16.64,13.14,17.67,7.34
"2010-05-18 10:30:00",283,13.41,15.67,21.93,17.88,7.35
"2010-05-18 11:00:00",284,13.404,15.35,20.51,18.94,7.35
"2010-05-18 11:30:00",285,13.394,16.32,30.13,18.2,7.35
"2010-05-18 12:00:00",286,13.383,14.9,30.53,16.25,7.35
"2010-05-18 12:30:00",287,13.373,13.26,46.91,14.89,7.35
"2010-05-18 13:00:00",288,13.366,13.95,34.3,15.2,7.35
"2010-05-18 13:30:00",289,13.362,13.33,44.01,15.04,7.35
"2010-05-18 14:00:00",290,13.356,11.59,46.36,13.68,7.35
"2010-05-18 14:30:00",291,13.343,11.26,40.41,13.04,7.35
"2010-05-18 15:00:00",292,13.322,12.59,31.05,13.41,7.35
"2010-05-18 15:30:00",293,13.289,11.34,37.34,13.52,7.35
"2010-05-18 16:00:00",294,13.247,10.01,31.54,12.15,7.35
"2010-05-18 16:30:00",295,13.218,9.35,17.65,10.47,7.35
"2010-05-18 17:00:00",296,13.212,8.72,31.17,10.78,7.35
"2010-05-18 17:30:00",297,13.208,6.945,33.28,8.73,7.35
"2010-05-18 18:00:00",298,13.204,6.171,37.22,7.47,7.35
"2010-05-18 18:30:00",299,13.206,5.436,43.56,9.2,7.35
"2010-05-18 19:00:00",300,13.206,6.384,47.65,8.63,7.35
"2010-05-18 19:30:00",301,13.2,4.179,37.59,5.786,7.35
"2010-05-18 20:00:00",302,13.198,4.303,27.86,5.418,7.36
"2010-05-18 20:30:00",303,13.204,5.443,23.47,7.52,7.35
"2010-05-18 21:00:00",304,13.216,6.87,36.81,7.89,7.35
"2010-05-18 21:30:00",305,13.241,5.942,54.19,7.73,7.35
"2010-05-18 22:00:00",306,13.25,4.034,71.1,5.313,7.35
"2010-05-18 22:30:00",307,13.248,4.174,101.5,5.733,7.35
"2010-05-18 23:00:00",308,13.243,4.429,102.5,5.733,7.35
"2010-05-18 23:30:00",309,13.234,3.334,81.1,4.734,7.36
